category,volume,issue,date,link
SCIENTIFIC AMERICAN HEALTH & MEDICINE,2,4,August 2020,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=5D53EE20-9913-4682-AAF4C46F1F8A0759
SCIENTIFIC AMERICAN,323,1,July 2020,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=D21C658F-6D33-485A-95541E9C58390FB0
SCIENTIFIC AMERICAN MIND,31,4,July 2020,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=71153A46-396C-4E4F-87248339280FA5DF
SCIENTIFIC AMERICAN SPACE & PHYSICS,3,3,June 2020,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=26834469-2BF1-4F8E-A633C1EEA8BB6ADD
SCIENTIFIC AMERICAN,322,6,June 2020,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=51DCF7B2-2C79-4070-B2AA1B636685D54B
SCIENTIFIC AMERICAN HEALTH & MEDICINE,2,3,June 2020,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=A1DDFFCC-A57F-4CD3-A19898B3D25A4D65
SCIENTIFIC AMERICAN,29,2s,April 2020,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=3F2B5686-072F-4EE4-B91A67ACBA219DB6
SCIENTIFIC AMERICAN,322,5,May 2020,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=ABF5DC40-BF47-4CEB-9FCC5BA0EA567959
SCIENTIFIC AMERICAN MIND,31,3,May 2020,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=A62DE204-E94C-4703-910E748D6DCF090D
SCIENTIFIC AMERICAN SPACE & PHYSICS,3,2,April 2020,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=6A998E06-C9CB-4560-9FDBE0D6877CE1A5
SCIENTIFIC AMERICAN,322,4,April 2020,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=98151DBF-7F49-4C58-B9556FACBC6A7CBF
SCIENTIFIC AMERICAN HEALTH & MEDICINE,2,2,April 2020,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=9D1B7FE1-2288-4281-BB9BDBB5A390E7BC
SCIENTIFIC AMERICAN,322,3,March 2020,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=B26EEACA-C872-4BFF-96C670B04CDB2795
SCIENTIFIC AMERICAN MIND,31,2,March 2020,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=837A01E9-31AD-4766-AB3C41E200480C85
SCIENTIFIC AMERICAN,29,1,February 2020,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=B3BF2E3C-3337-4297-8559CA10BD0E4CF4
SCIENTIFIC AMERICAN SPACE & PHYSICS,3,1,February 2020,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=B96E1821-574A-43A8-B30BF47C0C2C9908
SCIENTIFIC AMERICAN,322,2,February 2020,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=BD17C957-4AA1-46C7-B7B06CEE12E725E6
SCIENTIFIC AMERICAN HEALTH & MEDICINE,2,1,February 2020,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=66CD8E13-C03F-43B6-8ADE3533188DB2BD
SCIENTIFIC AMERICAN,322,1,January 2020,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=7EEC71E1-F7F8-401A-AEA4893E5E8D6987
SCIENTIFIC AMERICAN MIND,31,1,January 2020,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=C158968D-7955-4D47-B049F190DA86A805
SCIENTIFIC AMERICAN SPACE & PHYSICS,2,6,December 2019,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=0080878A-8998-4B9F-986310C2189D4EB7
SCIENTIFIC AMERICAN,28,5,November 2019,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=E6D43A87-934A-4441-9E100FC1F7C5324F
SCIENTIFIC AMERICAN,321,6,December 2019,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=66D8166C-6D32-4025-BF982C9AEFC54684
SCIENTIFIC AMERICAN HEALTH & MEDICINE,1,6,December 2019,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=D6351820-C5A1-4E41-B3CF4AE3F2979BF5
SCIENTIFIC AMERICAN,321,5,November 2019,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=721E0A34-9AAA-4ACC-9322494932F1289D
SCIENTIFIC AMERICAN MIND,30,6,November 2019,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=01B6D6ED-AD9A-4488-A359FC1D30CA23F4
SCIENTIFIC AMERICAN SPACE & PHYSICS,2,5,October 2019,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=81F3D168-C836-461F-9B3F1A47B9DAB9DE
SCIENTIFIC AMERICAN,28,4s,September 2019,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=539FE73B-EB50-476F-888FB309F3395365
SCIENTIFIC AMERICAN,321,4,October 2019,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=764B2C80-C9CC-42D0-BA3ED76977986500
SCIENTIFIC AMERICAN HEALTH & MEDICINE,1,5,October 2019,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=71919210-DF79-4642-85799C01F59E0032
SCIENTIFIC AMERICAN,321,3,September 2019,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=EC242FC6-136A-44F7-85C74B322195B826
SCIENTIFIC AMERICAN MIND,30,5,September 2019,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=B3AE6714-4DB3-4842-97BB22FE40D64104
SCIENTIFIC AMERICAN SPACE & PHYSICS,2,4,August 2019,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=8F30A46E-381A-4C7F-88554BE2EFC22FF2
SCIENTIFIC AMERICAN HEALTH & MEDICINE,1,4,August 2019,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=AF655EA1-7EBB-4B14-9C325397E56FFA9E
SCIENTIFIC AMERICAN,321,2,August 2019,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=4F85B6CF-C594-4FA9-ABAB6B1D1BAE5BC2
SCIENTIFIC AMERICAN,28,3s,July 2019,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=76BEAA74-A039-49A4-BE86D72F070F86E4
SCIENTIFIC AMERICAN,321,1,July 2019,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=A90C8FB3-EB6A-40FC-8A52F73167BA77C1
SCIENTIFIC AMERICAN MIND,30,4,July 2019,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=AA0AB50D-5A3F-429D-963376F5CF4A450F
SCIENTIFIC AMERICAN SPACE & PHYSICS,2,3,June 2019,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=548E11FD-4E1A-4DB2-B892996F7EFF4C78
SCIENTIFIC AMERICAN HEALTH & MEDICINE,1,3,June 2019,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=1C5F9945-0E78-4B97-8246945D7F32BC05
SCIENTIFIC AMERICAN,320,6,June 2019,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=01CCEA8F-1C0F-4E27-90F2346FCCD6026C
SCIENTIFIC AMERICAN,28,2s,April 2019,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=2C7AC900-B311-4DEB-A0862C5540BBF209
SCIENTIFIC AMERICAN,320,5,May 2019,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=D82D3ECC-FD30-4381-8EB8919045ED793E
SCIENTIFIC AMERICAN MIND,30,3,May 2019,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=E9B914C9-7278-4B10-953FB5E25322EFEB
SCIENTIFIC AMERICAN SPACE & PHYSICS,2,2,April 2019,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=FF65E524-781E-4B1C-A25AD80F6B2D484A
SCIENTIFIC AMERICAN,320,4,April 2019,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=7348AB91-A6FE-4755-BACD303885D02D7D
SCIENTIFIC AMERICAN HEALTH & MEDICINE,1,2,April 2019,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=30689ED4-A936-4028-A724621663E1C343
SCIENTIFIC AMERICAN,320,3,March 2019,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=F4D54154-6254-4D92-A3542EE609CB9613
SCIENTIFIC AMERICAN MIND,30,2,March 2019,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=5C9B989E-6100-4239-BB84DDA78378D3D6
SCIENTIFIC AMERICAN,28,1s,February 2019,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=6861EFF0-A193-43EC-B79B6498F3817491
SCIENTIFIC AMERICAN SPACE & PHYSICS,2,1,February 2019,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=AD66253A-8E38-4970-9C6F10D09C8B0AA5
SCIENTIFIC AMERICAN,320,2,February 2019,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=CEDCA5DD-365E-4108-A2BA1900ACB52CB0
SCIENTIFIC AMERICAN HEALTH & MEDICINE,1,1,February 2019,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=E8DF735A-1DFC-4665-B42778A40933FD8D
SCIENTIFIC AMERICAN,320,1,January 2019,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=2DF6D0E2-05D7-4A64-9EA60AC0ACDAE637
SCIENTIFIC AMERICAN MIND,30,1,January 2019,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=2BFAA97C-9520-4EBD-9AEF879511999667
SCIENTIFIC AMERICAN,27,5s,December 2018,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=10775CBA-BC34-4DA9-AA12D40C8DD03E28
SCIENTIFIC AMERICAN SPACE & PHYSICS,1,5,December 2018,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=70AE2E91-B725-481C-B422679B6D2151FC
SCIENTIFIC AMERICAN,319,6,December 2018,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=FD9C2D81-01EE-4DDC-8DCB85934E628DA5
SCIENTIFIC AMERICAN,319,5,November 2018,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=5BB8E599-AC93-444D-A83AE0197C52A561
SCIENTIFIC AMERICAN MIND,29,6,November 2018,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=8836B403-0DCE-46B6-BC7C1624AB8C0A43
SCIENTIFIC AMERICAN SPACE & PHYSICS,1,4,October 2018,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=7346F145-D41F-45B0-BBAB0E5038941234
SCIENTIFIC AMERICAN,27,4s,October 2018,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=1C23660F-C681-4AFA-B40316B6175F27B3
SCIENTIFIC AMERICAN,319,4,October 2018,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=FBA5E28D-04CE-499B-9B70202E28B7665D
SCIENTIFIC AMERICAN MIND,29,5,September 2018,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=9A2A3238-9BCF-4A02-A821AC82CE3BB496
SCIENTIFIC AMERICAN,319,3,September 2018,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=C461B7BA-5125-4444-9E346CBA9D3ED5DB
SCIENTIFIC AMERICAN SPACE & PHYSICS,1,3,August 2018,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=15F0E71B-4DB0-4405-98D627DA6E86B392
SCIENTIFIC AMERICAN,319,2,August 2018,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=1E6B97B8-9D8D-4A85-AB206570B393C438
SCIENTIFIC AMERICAN,27,3s,July 2018,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=63D1CDA3-4705-4DA9-88B289216017D470
SCIENTIFIC AMERICAN,319,1,July 2018,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=1C0FD201-F8EB-42C3-BE87C284439B90BA
SCIENTIFIC AMERICAN MIND,29,4,July 2018,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=A3427EA9-613C-4F35-86BAA43644AA66B5
SCIENTIFIC AMERICAN SPACE & PHYSICS,1,2,June 2018,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=315C2E30-75B7-4E33-8455EC3B5ED5924E
SCIENTIFIC AMERICAN,318,6,June 2018,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=A3DE8A26-637C-472F-B58D84B76F913AAF
SCIENTIFIC AMERICAN,27,2s,May 2018,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=F0FB1C84-1A54-4E66-B840AFB4D34BE27C
SCIENTIFIC AMERICAN,318,5,May 2018,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=69A5A7EB-C018-4569-A90B2FE14DD8EC3F
SCIENTIFIC AMERICAN MIND,29,3,May 2018,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=CFE57DAE-66C7-45B0-95D9593DDA6A9447
SCIENTIFIC AMERICAN,318,4,April 2018,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=3AA7D120-663B-421F-86F0974405988F1D
SCIENTIFIC AMERICAN,318,3,March 2018,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=417FFB57-B47F-4214-ABC3F6C651ED59F3
SCIENTIFIC AMERICAN MIND,27,1s,March 2018,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=642CE6F9-B994-45F5-96F6FE0CBCBA0D5C
SCIENTIFIC AMERICAN MIND,29,2,March 2018,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=A1F20B5A-7F62-4080-B399596B9E1B4261
SCIENTIFIC AMERICAN SPACE & PHYSICS,1,1,February 2018,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=6115CC42-197F-4081-97A8B4522C63D947
SCIENTIFIC AMERICAN,318,2,February 2018,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=C1BF4FA2-D938-4D8B-9A2B4F5759AB8F1C
SCIENTIFIC AMERICAN,318,1,January 2018,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=00F4F2ED-544E-481F-AF1947ABD4F77428
SCIENTIFIC AMERICAN MIND,29,1,January 2018,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=C2BF9ACA-6B79-407B-93CCD882C93355FD
SCIENTIFIC AMERICAN,26,5s,December 2017,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=6B38032E-2CA1-4392-8E4A884F769E3DA6
SCIENTIFIC AMERICAN,317,6,December 2017,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=A6B26F6C-C3E4-4EFC-BDA200171DD2CF1D
SCIENTIFIC AMERICAN,317,5,November 2017,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=694E4764-965C-41D7-8A4D5D8BF24C0532
SCIENTIFIC AMERICAN MIND,28,6,November 2017,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=6551458E-2DBE-4E96-B6DB65EEABEB79F9
SCIENTIFIC AMERICAN,317,4,October 2017,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=08526421-D124-4615-8FF4EE51BA587ED5
SCIENTIFIC AMERICAN,26,4s,September 2017,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=1C18F2BA-5886-49E8-9109D0F1968CA40F
SCIENTIFIC AMERICAN,317,3,September 2017,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=23E19344-1A53-494A-9BF05DC5D4465E60
SCIENTIFIC AMERICAN MIND,28,5,September 2017,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=8680CB60-21ED-4FE1-9AF4DC1A5525F699
SCIENTIFIC AMERICAN,317,2,August 2017,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=A9EC06A9-EBBC-4439-81372820F1F8EAB4
SCIENTIFIC AMERICAN,26,3s,July 2017,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=DCDA5F7D-F7E9-479D-9CFF6036D6D49E8A
SCIENTIFIC AMERICAN,317,1,July 2017,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=1C8A0196-BB9B-4ECA-AB50E943E4DF1BBD
SCIENTIFIC AMERICAN MIND,28,4,July 2017,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=6AD8C4A1-2958-4E43-A33DDE10E2CDC725
SCIENTIFIC AMERICAN,316,6,June 2017,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=AF293F22-A4BD-4473-9FBCE0FE24FC23BA
SCIENTIFIC AMERICAN,26,2s,May 2017,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=54C56C6A-D20E-4984-AB9F4C72544B8902
SCIENTIFIC AMERICAN,316,5,May 2017,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=02973EC0-E60E-4825-BEA888EF882B0BD2
SCIENTIFIC AMERICAN MIND,28,3,May 2017,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=F7F99CAC-64DF-440E-8DD0BCE5F941D781
SCIENTIFIC AMERICAN,316,4,April 2017,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=38C895BA-96E6-417C-A5CB0501D9BF7131
SCIENTIFIC AMERICAN MIND,26,1s,March 2017,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=5240C256-08F1-4CA7-AFD0B372B03D1E5A
SCIENTIFIC AMERICAN,316,3,March 2017,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=829A8015-C613-481F-BFD408940C874D00
SCIENTIFIC AMERICAN MIND,28,2,March 2017,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=93C4E247-0F8A-4DE9-8FAAC12E2285ACF5
SCIENTIFIC AMERICAN,316,2,February 2017,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=B56315DD-5D8F-4697-A3DD0E4133722E6D
SCIENTIFIC AMERICAN,316,1,January 2017,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=C66A2F54-6453-41AF-912690D34BCCCC98
SCIENTIFIC AMERICAN MIND,28,1,January 2017,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=A9C616BB-E8F1-49E7-8992E7E26C65C5AF
SCIENTIFIC AMERICAN,25,5s,December 2016,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=5E986245-53C5-4B0D-86C920427349E3D3
SCIENTIFIC AMERICAN,315,6,December 2016,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=110B497F-F77B-4537-9621A32E3B3C0FFE
SCIENTIFIC AMERICAN,315,5,November 2016,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=8081CE05-635D-45A8-975CC232E4CEBB81
SCIENTIFIC AMERICAN MIND,27,6,November 2016,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=57A956C7-CC31-490A-9E3B9A97CA0C602F
SCIENTIFIC AMERICAN,25,4s,October 2016,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=0D33B825-6162-4DD2-945779E2E0616833
SCIENTIFIC AMERICAN,315,4,October 2016,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=75ADD809-2FA8-4CFC-A7A9F257F8957A6A
SCIENTIFIC AMERICAN,315,3,September 2016,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=DFB9E60B-A9B2-4373-A9D8952819D01B04
SCIENTIFIC AMERICAN MIND,27,5,September 2016,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=C1B5C096-31AC-464F-A88A8EBE979CE850
SCIENTIFIC AMERICAN MIND,25,3s,August 2016,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=203680A0-3F3E-44C0-847BA6A6C9AF3E11
SCIENTIFIC AMERICAN,315,2,August 2016,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=A61D2F45-EA71-47E0-9381591224B423DA
SCIENTIFIC AMERICAN,315,1,July 2016,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=2BF48F44-81A6-4090-AF4BFCA82D74074C
SCIENTIFIC AMERICAN MIND,27,4,July 2016,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=8D06227F-8FC7-4C3F-A3DD21C1CB39B4D0
SCIENTIFIC AMERICAN,314,6,June 2016,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=F7C8EA65-83AB-4095-A355081294FCBA3F
SCIENTIFIC AMERICAN MIND,25,2s,May 2016,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=4190D8C6-939D-45A6-964FC8C34B695CB2
SCIENTIFIC AMERICAN,314,5,May 2016,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=5BC1A5F6-49C1-44C3-8CD95619A40A74F6
SCIENTIFIC AMERICAN MIND,27,3,May 2016,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=54B14776-C857-4DAB-89620B24C26EA90A
SCIENTIFIC AMERICAN,314,4,April 2016,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=DEFB3738-9839-4BD1-BE50A42F5A2480FA
SCIENTIFIC AMERICAN MIND,25,1s,March 2016,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=E2347D0B-2DB0-427B-BD074B0240AC687D
SCIENTIFIC AMERICAN,314,3,March 2016,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=ACF5F8E2-0DC3-44EC-BCF9D6E3C174BEC0
SCIENTIFIC AMERICAN MIND,27,2,March 2016,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=C2BE1B0F-26C1-4823-B27B7CD69DCC2E87
SCIENTIFIC AMERICAN,314,2,February 2016,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=3F1B692A-EE9C-482B-83AF242BEFD29AFD
SCIENTIFIC AMERICAN MIND,27,1,January 2016,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=EAD7C6D4-493C-41F1-97C306F624A42A33
SCIENTIFIC AMERICAN,314,1,January 2016,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=698D6612-5EE5-4892-87C5359A598C5E2A
SCIENTIFIC AMERICAN,24,4s,December 2015,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=6D9A95E0-DA51-4A9C-B79803585668D6EA
SCIENTIFIC AMERICAN,313,6,December 2015,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=A3482649-DEA5-4939-9D7A5019558F7EC9
SCIENTIFIC AMERICAN,313,5,November 2015,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=F1CE6D7E-FE64-485D-B4EB3545F24E77EB
SCIENTIFIC AMERICAN MIND,26,6,November 2015,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=47252F67-DC52-4281-B252935D77A90766
SCIENTIFIC AMERICAN,313,4,October 2015,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=13AB9BEE-386E-4AF2-BD9443BC3B1443B0
SCIENTIFIC AMERICAN,24,3s,September 2015,https://www.scientificamerican.com/index.cfm/_api/render/file/?method=inline&amp;fileID=B793E6CE-BD4D-4956-B1BF537220E4EBE2
